10:2:20:10 => [185, 164, 134, 231, 120, 180, 240, 260, 180, 140]-[215, 236, 266, 169, 280, 220, 160, 140, 220, 260]
10:3:2:10 => [4, 4, 2, 0, 0, 2, 0, 4, 0, 4]-[0, 0, 2, 4, 4, 2, 4, 0, 4, 0]
10:3:3:10 => [6, 3, 6, 6, 6, 6, 6, 0, 9, 6]-[3, 6, 3, 3, 3, 3, 3, 9, 0, 3]
10:3:4:10 => [0, 8, 8, 8, 4, 8, 0, 12, 4, 4]-[16, 8, 8, 8, 12, 8, 16, 4, 12, 12]
10:3:5:10 => [15, 15, 10, 10, 5, 15, 25, 10, 15, 10]-[10, 10, 15, 15, 20, 10, 0, 15, 10, 15]
10:3:6:10 => [14, 12, 18, 18, 24, 18, 18, 6, 6, 18]-[22, 24, 18, 18, 12, 18, 18, 30, 30, 18]
10:3:7:10 => [17, 35, 28, 28, 14, 14, 28, 14, 28, 21]-[32, 14, 21, 21, 35, 35, 21, 35, 21, 28]
10:3:8:10 => [51, 32, 48, 24, 32, 40, 40, 16, 40, 16]-[13, 32, 16, 40, 32, 24, 24, 48, 24, 48]
10:3:9:10 => [36, 46, 10, 45, 45, 9, 27, 36, 36, 63]-[45, 35, 71, 36, 36, 72, 54, 45, 45, 18]
10:3:10:10 => [64, 30, 30, 60, 30, 60, 50, 70, 50, 30]-[36, 70, 70, 40, 70, 40, 50, 30, 50, 70]
10:3:11:10 => [30, 52, 55, 55, 99, 55, 88, 77, 88, 55]-[91, 69, 66, 66, 22, 66, 33, 44, 33, 66]
10:3:12:10 => [75, 52, 74, 0, 72, 120, 72, 96, 36, 72]-[69, 92, 70, 144, 72, 24, 72, 48, 108, 72]
10:3:13:10 => [88, 91, 78, 91, 117, 52, 78, 52, 78, 117]-[81, 78, 91, 78, 52, 117, 91, 117, 91, 52]
10:3:14:10 => [87, 51, 80, 84, 70, 112, 154, 98, 98, 112]-[109, 145, 116, 112, 126, 84, 42, 98, 98, 84]
10:3:15:10 => [129, 60, 120, 75, 60, 120, 75, 165, 150, 165]-[96, 165, 105, 150, 165, 105, 150, 60, 75, 60]
10:3:16:10 => [92, 90, 96, 144, 176, 128, 144, 128, 112, 80]-[164, 166, 160, 112, 80, 128, 112, 128, 144, 176]
10:3:17:10 => [86, 132, 168, 170, 136, 119, 187, 204, 119, 102]-[203, 157, 121, 119, 153, 170, 102, 85, 170, 187]
10:3:18:10 => [121, 144, 226, 151, 126, 108, 198, 162, 108, 162]-[203, 180, 98, 173, 198, 216, 126, 162, 216, 162]
10:3:19:10 => [93, 182, 205, 217, 190, 209, 114, 209, 152, 133]-[268, 179, 156, 144, 171, 152, 247, 152, 209, 228]
10:3:20:10 => [123, 175, 240, 180, 240, 220, 220, 200, 160, 200]-[277, 225, 160, 220, 160, 180, 180, 200, 240, 200]
10:4:2:10 => [2, 2, 4, 2, 2, 0, 4, 0, 4, 0]-[2, 2, 0, 2, 2, 4, 0, 4, 0, 4]
10:4:3:10 => [8, 6, 0, 0, 0, 3, 3, 3, 6, 6]-[1, 3, 9, 9, 9, 6, 6, 6, 3, 3]
10:4:4:10 => [4, 4, 8, 12, 8, 4, 8, 8, 8, 12]-[12, 12, 8, 4, 8, 12, 8, 8, 8, 4]
10:4:5:10 => [15, 20, 10, 5, 20, 20, 15, 5, 15, 25]-[10, 5, 15, 20, 5, 5, 10, 20, 10, 0]
10:4:6:10 => [26, 18, 24, 18, 18, 18, 24, 12, 12, 24]-[10, 18, 12, 18, 18, 18, 12, 24, 24, 12]
10:4:7:10 => [41, 35, 35, 14, 14, 35, 28, 14, 35, 21]-[8, 14, 14, 35, 35, 14, 21, 35, 14, 28]
10:4:8:10 => [24, 32, 40, 24, 24, 24, 48, 40, 24, 32]-[40, 32, 24, 40, 40, 40, 16, 24, 40, 32]
10:4:9:10 => [49, 38, 38, 27, 54, 36, 36, 54, 36, 18]-[32, 43, 43, 54, 27, 45, 45, 27, 45, 63]
10:4:10:10 => [50, 70, 60, 20, 30, 40, 40, 70, 60, 70]-[50, 30, 40, 80, 70, 60, 60, 30, 40, 30]
10:4:11:10 => [68, 60, 72, 44, 55, 77, 33, 11, 66, 44]-[53, 61, 49, 77, 66, 44, 88, 110, 55, 77]
10:4:12:10 => [71, 47, 75, 36, 72, 96, 108, 60, 72, 72]-[73, 97, 69, 108, 72, 48, 36, 84, 72, 72]
